playId,nflId,2nd,3rd,4th,5th,6rd,7th,8th,9rd,10th,11th
189,Error,Error,Error,Error,Error
271,37077,39973,46116,39983,46203,38779,39965,47784,42367,52480,44949
334,46276,45635,37139,53514,44995,53571,47827,41296,44068,52600,29851
368,46276,37139,53514,30842,52470,41296,52600,44068,29851,53571,47827
392,44995,45635,47970,46276,52470,41296,29851,44068,52600,47827,53571
471,53478,37077,46116,39983,46203,47784,52480,38779,39965,42367,44949
495,39973,37077,39983,53478,46203,39965,38779,47784,44949,42367,52480
519,39973,37077,46116,44917,53478,38779,39965,47784,44949,42367,52480
784,37139,45635,30842,47970,52470,53571,47827,41296,52600,29851,44068
850,46276,47970,53172,45635,52470,53571,41296,52600,44068,47827,29851
874,47970,45635,46276,30842,52470,41296,52600,53571,44068,29851,47827
917,Error,Error,Error,Error,Error
1133,48234,39983,37077,53478,44917,39965,47784,42367,38779,44949,52480
1155,Error,Error,Error,Error,Error
1261,Error,Error,Error,Error,Error
1454,47970,30842,46276,53172,44995,47827,53571,44068,41296,52600,29851
1489,46276,45635,47970,30842,52470,47827,41296,44068,53571,29851,52600
1511,37139,46276,30842,44995,45635,53571,52600,41296,44068,47827,29851
1595,Error,Error,Error,Error,Error
1651,46116,37077,46203,53478,40615,42367,52480,38779,47784,44949,39965
1673,48234,46116,37077,53478,46203,44949,38779,39965,42367,52480,47784
1735,37139,30842,53514,46276,52470,53571,41296,44068,52600,47827,29851
1860,44819,40024,48556,34540,45573,52414,41324,41390,41959,45630,53442
1903,45635,37139,44995,46276,47970,47827,44068,41296,29851,52600,53571
1942,45635,46276,48624,37139,44995,44068,52600,41296,47827,29851,53571
2171,47970,45635,46276,37139,44995,52600,53571,41296,29851,47827,44068
2269,46116,37077,48234,53478,44917,47784,38779,52480,42367,44949,39965
2319,44003,42486,47834,42589,43334,47865,38629,38538,40124,41237,35472
2367,Error,Error,Error,Error,Error
2389,46116,53478,37077,48234,44917,42367,39965,52480,47784,38779,44949
2413,46116,48234,53478,37077,46203,44949,39965,42367,38779,52480,47784
2435,37077,39983,48234,46203,46116,47784,38779,39965,52480,42367,44949
2506,40615,39973,39983,45142,46203,42367,39965,44949,52480,38779,47784
2641,45635,46276,47970,30842,52470,41296,52600,47827,44068,53571,29851
2755,Error,Error,Error,Error,Error
2897,37139,47970,46276,44995,52502,29851,44068,52600,47827,41296,53571
2953,Error,Error,Error,Error,Error
3007,39983,37077,53478,40615,46203,47784,44949,42367,38779,52480,39965
3052,37077,48234,46116,39983,44917,38779,47784,39965,52480,44949,42367
3074,46116,48234,37077,39983,53478,47784,38779,52480,44949,39965,42367
3096,37077,46116,48234,53478,46203,38779,39965,42367,52480,47784,44949
3125,39983,53478,46116,37077,46203,39965,47784,42367,52480,44949,38779
3202,46116,48234,37077,39983,44917,47784,52480,44949,42367,39965,38779
3279,Error,Error,Error,Error,Error
3298,47970,46276,44995,30842,52502,52600,53571,44068,41296,29851,47827
3346,48624,47970,30842,52470,53172,53571,41296,52600,44068,47827,29851
3670,Error,Error,Error,Error,Error
3708,Error,Error,Error,Error,Error
3751,Error,Error,Error,Error,Error
3773,46116,39973,37077,46203,53478,47784,52480,38779,44949,39965,42367
3797,37077,46116,48234,39983,46203,42367,52480,38779,47784,39965,44949
3862,46116,37077,39983,53478,46203,47784,39965,42367,38779,52480,44949
3917,53478,46116,39983,37077,46203,39965,38779,42367,44949,47784,52480
4039,46116,37077,39983,39973,46203,39965,52480,42367,47784,44949,38779
113,Error,Error,Error,Error,Error
132,43429,46263,53433,46094,39975,41232,53497,33084,47814,47797,52486
230,43808,46093,42397,53633,53512,44876,41436,46072,42362,46755,47919
422,43808,46093,53633,53512,53555,46755,41436,42362,47919,44876,46072
467,46093,43808,46542,46170,42397,41436,47919,42362,46755,44876,46072
587,Error,Error,Error,Error,Error
