playId,nflId,2nd,3rd,4th,5th,6rd,7th,8th,9rd,10th,11th
95,44881,39989,43399,52465,47853,46180,30869,42400,47952,46102,34452
165,44881,52465,43399,47853,39989,46102,46180,34452,30869,47952,42400
227,47847,42412,46189,43460,52622,38605,43447,45056,41310,33107,52477
272,42412,48119,46189,52622,43460,45056,43447,38605,52477,41310,33107
301,52622,43460,42412,47847,46189,45056,33107,41310,52477,43447,38605
372,47853,39989,43399,44881,33130,34452,46180,42400,46102,47952,30869
417,44881,43399,45094,33130,47853,42400,47952,46102,46180,34452,30869
523,46189,52541,42412,47847,43460,52477,41310,33107,45056,38605,43447
545,42412,46189,47847,43460,41310,43447,45056,33107,38605,52477,52541
599,43460,47847,46189,52622,52552,45056,52477,33107,41310,43447,38605
734,33130,44881,47853,39989,43399,47952,46180,30869,34452,42400,46102
780,Error,Error,Error,Error,Error
799,52465,39989,44881,43399,46100,46180,34452,46102,47952,42400,30869
823,52465,43399,39989,46100,44881,46102,46180,42400,34452,47952,30869
893,39989,52465,47853,43399,44881,46102,30869,34452,46180,42400,47952
920,46705,46276,30842,52470,45635,53571,48181,44068,41296,52600,29851
988,42412,48119,52541,46189,43460,41310,43447,45056,52477,33107,38605
1014,52465,39989,43399,45094,47853,42400,30869,47952,46180,46102,34452
1036,39989,43399,33130,44881,47853,46102,47952,46180,42400,34452,30869
1143,42412,47847,46189,43460,52541,38605,41310,52477,45056,43447,33107
1205,47847,42412,52622,46189,43460,45056,43447,38605,52477,41310,33107
1336,33130,44881,39989,46100,45094,46180,34452,46102,42400,30869,47952
1381,Error,Error,Error,Error,Error
1405,39989,44881,52465,45094,46100,46180,47952,42400,46102,34452,30869
1492,Error,Error,Error,Error,Error
1649,42412,46189,52552,52622,47847,45056,41310,43447,38605,52477,33107
1694,47847,42412,52622,52552,46189,41310,38605,33107,45056,52477,43447
1727,42412,47847,46189,52622,52552,41310,45056,43447,52477,33107,38605
1775,Error,Error,Error,Error,Error
1828,47847,42412,46189,52622,52552,52477,41310,33107,43447,38605,45056
1939,47847,42412,43460,46189,52541,45056,43447,38605,52477,33107,41310
1984,42412,48119,46189,52541,43460,41310,38605,33107,52477,45056,43447
