playId,nflId,2nd,3rd,4th,5th,6rd,7th,8th,9rd,10th,11th
76,44896,35634,41233,42033,44816,52421,42404,42377,46163,40151,25511
100,44896,41233,44831,44816,46163,42377,52421,40151,42404,25511,41667
145,44896,41233,35634,44831,44816,52421,42404,42377,40151,46163,25511
169,44896,41233,35634,44831,44816,25511,42404,46163,40151,42377,52421
257,41233,44831,42033,44816,40151,42377,46163,41667,42404,25511,52421
334,53439,52429,39983,53579,47836,37266,53466,52553,47805,52461,46302
379,Error,Error,Error,Error,Error
419,53439,45607,52429,39983,47836,37266,47805,52553,52461,46302,53466
441,53439,52608,39983,52429,47836,46302,53466,47805,52461,37266,52553
500,Error,Error,Error,Error,Error
627,Error,Error,Error,Error,Error
651,44831,44896,41233,42033,39985,42404,42377,46163,40151,52421,25511
675,41233,44896,35634,44816,44831,42404,25511,42377,40151,46163,52421
686,53439,52429,39983,52608,47836,53466,46302,52461,52553,47805,37266
836,44896,35634,41233,46107,44831,40151,52421,46163,25511,42404,42377
938,Error,Error,Error,Error,Error
962,52608,53439,52429,39983,47836,53466,52553,52461,37266,47805,46302
1054,Error,Error,Error,Error,Error
1143,Error,Error,Error,Error,Error
1171,53439,39983,45607,52608,53579,52461,37266,52553,47805,53466,46302
1253,41233,44896,52569,42033,39985,42404,52421,40151,42377,46163,25511
1375,52429,52608,39983,53439,47836,37266,53466,52553,47805,46302,52461
1399,53439,52608,39983,52429,47836,52461,46302,37266,53466,47805,52553
1425,41233,44896,42033,44816,42377,40151,46163,52421,42404,25511,41667
1447,52569,44896,35634,42033,44816,42377,40151,52421,25511,42404,46163
1516,35634,42033,44831,44816,46163,41667,25511,52421,42404,42377,40151
1609,41233,44896,42033,52569,44816,46163,40151,52421,42404,42377,25511
1724,52429,53439,52608,39983,53579,46302,37266,52461,53466,52553,47805
1752,Error,Error,Error,Error,Error
1778,Error,Error,Error,Error,Error
1879,35634,44896,41233,39985,42033,40151,42404,52421,42377,25511,46163
1901,41233,44896,35634,42033,39985,42377,46163,25511,52421,40151,42404
1923,41233,35634,44896,42033,39985,40151,42404,52421,42377,25511,46163
1959,52429,53439,45607,39983,53579,37266,46302,53466,47805,52461,52553
1983,45607,39983,52429,53439,53579,52553,53466,46302,37266,52461,47805
2016,Error,Error,Error,Error,Error
2119,52608,53439,52429,47836,39983,37266,46302,53466,52461,52553,47805
2170,Error,Error,Error,Error,Error
2217,41233,42033,44896,44831,44816,42404,52421,42377,40151,46163,25511
2241,Error,Error,Error,Error,Error
2312,41233,44896,35634,44831,44816,52421,46163,40151,42404,42377,25511
2420,44896,44831,35634,41233,46107,42404,40151,46163,25511,52421,42377
2578,52429,53439,47836,53946,39983,47805,37266,53466,46302,52461,52553
2611,53439,47840,39983,47836,53579,47805,52553,46302,52461,53466,37266
2722,53439,52608,52429,39983,47836,47805,52553,53466,46302,37266,52461
2744,Error,Error,Error,Error,Error
2797,41233,42033,44896,35634,52569,42404,46163,42377,25511,40151,52421
2843,41233,35634,52569,44896,39985,42404,42377,52421,46163,25511,40151
2951,52429,52608,53439,53946,47836,46302,53466,52553,47805,37266,52461
3023,52608,52429,47836,53946,52553,47840,37266,46302,53466,47805,52461
3045,52429,53439,47836,53946,39983,53466,52461,37266,47805,52553,46302
