playId,nflId,2nd,3rd,4th,5th,6rd,7th,8th,9rd,10th,11th
97,44896,35634,41233,35481,39985,42404,52421,42377,46163,40151,25511
137,42347,43293,46206,45532,52425,52554,47873,43424,37082,42654,46119
187,42347,46206,45532,46150,52425,42654,43424,47873,46119,37082,52554
282,Error,Error,Error,Error,Error
349,46150,52425,42347,46206,43293,52554,43424,42654,47873,37082,46119
410,Error,Error,Error,Error,Error
434,41233,35481,35634,44896,44816,40151,52421,42404,42377,46163,25511
456,41233,44896,35481,35634,44816,46163,42404,25511,42377,40151,52421
480,41233,35634,44896,35481,44816,40151,46163,42377,52421,42404,25511
509,41233,44896,35481,35634,44816,46163,40151,42404,52421,25511,42377
559,Error,Error,Error,Error,Error
583,Error,Error,Error,Error,Error
687,45532,46150,46206,42347,43293,37082,52554,43424,42654,47873,46119
735,42347,45532,46150,52425,43293,52554,42654,37082,47873,46119,43424
764,Error,Error,Error,Error,Error
788,Error,Error,Error,Error,Error
869,44896,41233,35634,35481,46107,42404,46163,25511,42377,40151,52421
925,41233,35481,44896,42033,44816,40151,42404,46163,52421,25511,42377
947,35481,41233,35634,44896,39985,40151,52421,42404,25511,42377,46163
1078,42347,52425,46150,46277,47911,47873,42654,43424,37082,52554,46119
1203,44896,42033,41233,35481,44816,25511,42404,42377,40151,46163,52421
1227,41233,44896,35481,42033,44816,42404,52421,40151,25511,42377,46163
1267,44896,41233,35481,44816,44831,42377,46163,40151,25511,42404,52421
1312,35634,41233,44896,35481,44816,40151,42404,25511,42377,46163,52421
1368,Error,Error,Error,Error,Error
1392,42347,43293,46150,45532,46206,37082,52554,43424,46119,42654,47873
1425,46150,45532,46206,42347,43293,42654,52554,37082,47873,43424,46119
1506,46277,46150,52425,45532,43293,47873,37082,42654,52554,46119,43424
1563,52425,46150,46206,42347,43293,43424,42654,46119,47873,37082,52554
1587,52425,46150,46206,42347,43293,43424,42654,47873,52554,37082,46119
1687,42412,47847,52622,46189,45062,43447,45056,52477,41310,33107,38605
