54,Error,Error,Error,Error,Error
78,44820,46072,53488,43808,46093
100,Error,Error,Error,Error,Error
319,Error,Error,Error,Error,Error
341,46072,46170,43808,44820,41436
365,46170,46072,46093,41436,42362
415,Error,Error,Error,Error,Error
596,43302,53496,46367,45339,41246
620,Error,Error,Error,Error,Error
692,46093,46072,44820,42362,53488
737,44820,46072,47995,43808,53488
838,46170,47995,42362,52858,46072
904,46072,53555,44876,41436,46170
926,46072,46170,52858,42362,43808
971,47995,53555,46072,43808,44876
1023,44876,46093,53555,46072,43808
1068,41246,53496,45339,37101,43302
1213,53496,41246,46167,43302,47806
1359,41436,46072,53512,53555,46170
1395,44876,46072,53555,46093,42362
1511,Error,Error,Error,Error,Error
1530,43302,53496,40138,41293,41246
1573,42362,43808,46093,46072,53555
1595,53488,46072,46140,42424,45785
1697,53496,46120,47838,41246,47806
1721,47806,53496,43302,42429,46120
1766,47806,41293,53496,41246,46120
1812,43302,47806,53496,41246,42419
1853,47806,53496,42429,41293,42419
1904,43808,44876,46072,42424,41436
1945,46072,53555,45785,44876,41436
2015,37101,53496,47806,46167,42419
2037,41293,53496,37213,47806,41246
2084,Error,Error,Error,Error,Error
2108,Error,Error,Error,Error,Error
2132,47806,53496,45339,42419,41246
2175,53496,43302,46167,47838,41246
2233,45339,53496,46167,41293,37213
2266,Error,Error,Error,Error,Error
2292,42419,53496,46167,41293,46120
2377,53555,43808,46072,53488,46093
2422,Error,Error,Error,Error,Error
2476,Error,Error,Error,Error,Error
2524,53512,46072,46140,42362,41436
2643,Error,Error,Error,Error,Error
2713,Error,Error,Error,Error,Error
2750,53488,46072,53555,44876,47995
2774,43808,46072,53555,53488,41436
2819,44876,46072,53555,45785,42362
2896,41436,46072,53555,43808,47995
2952,Error,Error,Error,Error,Error
2974,42362,46072,53488,46093,47995
3049,37101,53496,45339,41246,43302
3073,37213,53496,37101,46167,45339
3097,46120,53496,47806,43302,41293
3119,Error,Error,Error,Error,Error
